,matchday,home_team,away_team,season,competition,correct_score,1N2_1,1N2_N,1N2_2,home_team_rank_FIFA,away_team_rank_FIFA,home_team_trend,away_team_trend,home_team_odd_trend,away_team_odd_trend,target,best_odd_won,corr_score_home,corr_score_away
3639,2018-06-17,Germany,Mexico,2018,world-cup,0:1,1.47,4.47,7.33,6.666666666666667,15.583333333333334,5.0,8.0,4.0600000000000005,5.210000000000001,2.0,False,0.9893982445856679,0.9990426906465364
3640,2018-06-18,Sweden,South Korea,2018,world-cup,1:0,2.24,3.02,3.86,18.33333333333333,56.41666666666666,8.0,10.0,3.780000000000001,1.7875000000000008,0.0,True,0.9923312563141787,0.8963752173487439
3641,2018-06-18,Tunisia,England,2018,world-cup,1:2,8.54,4.17,1.47,23.08333333333333,10.0,7.0,11.0,1.8550000000000009,2.315000000000001,2.0,True,0.8660254037844386,0.9490183559041601
3642,2018-06-18,Belgium,Panama,2018,world-cup,3:0,1.2,6.71,18.06,2.9166666666666665,61.083333333333336,9.0,8.0,1.5950000000000006,4.3075,0.0,True,0.9204826764858683,0.8904397886773414
3643,2018-06-19,Russia,Egypt,2018,world-cup,3:1,1.95,3.48,4.27,55.75,50.5,12.0,6.0,1.7150000000000007,2.1050000000000004,0.0,True,0.991964898290899,0.4717154728273949
3644,2018-06-19,Colombia,Japan,2018,world-cup,1:2,1.86,3.33,5.05,13.916666666666666,53.91666666666666,9.0,9.0,3.4100000000000006,3.8425,2.0,False,0.9671611198538264,0.9212542028409479
3645,2018-06-19,Poland,Senegal,2018,world-cup,1:2,2.46,3.04,3.32,13.166666666666666,25.25,9.0,9.0,1.9850000000000003,2.6350000000000007,2.0,False,0.9709094655553906,0.9849729768917007
3646,2018-06-20,Portugal,Morocco,2018,world-cup,1:0,1.68,3.64,5.99,4.75,42.41666666666666,9.0,6.0,1.322500000000001,3.775000000000001,0.0,True,0.986666070043373,0.9700399895317258
3647,2018-06-20,Iran,Spain,2018,world-cup,0:1,19.24,6.68,1.2,32.5,7.916666666666667,9.0,9.0,2.2850000000000006,1.2050000000000007,2.0,True,0.9404781634759504,0.9733596747925446
3648,2018-06-20,Uruguay,Saudi Arabia,2018,world-cup,1:0,1.21,6.62,17.65,13.166666666666666,68.33333333333333,9.0,6.0,3.2475000000000005,1.3250000000000006,0.0,True,0.7857142857142857,0.8584639760913246
3649,2018-06-21,Argentina,Croatia,2018,world-cup,0:3,2.09,3.24,4.01,7.666666666666667,11.083333333333334,8.0,8.0,3.1000000000000005,3.255000000000001,2.0,False,0.981472655124988,0.9851360785181464
3650,2018-06-21,Denmark,Australia,2018,world-cup,1:1,1.91,3.39,4.57,11.333333333333334,38.91666666666666,7.0,11.0,1.9700000000000009,2.500000000000001,1.0,False,0.98838149080864,0.9337494295517476
