Game,Competition,Score,opening,closing
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,4,5.0,4.98
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,1,1.06,1.06
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,2,1.46,1.46
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,3,2.6,2.6
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,6.5,12.0,12.0
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,2.5,1.7992307692307692,1.8853846153846154
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,5.5,1.0233333333333334,1.035
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,4.5,1.0885714285714287,1.1085714285714285
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,1.5,3.325,3.6125
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,0.5,9.428571428571429,10.142857142857142
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,3.5,1.2862500000000001,1.33125
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,4,1.13,1.13
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,1,7.1,7.1
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,2,2.55,2.55
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,3,1.44,1.44
haiti-cuba-OvyWUo1s,concacaf-nations-league-2019-2020,6.5,1.01,1.01
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,2.5,2.1563636363636363,2.1436363636363636
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,2,1.63,1.63
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,1.5,1.3775,1.3775
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,3.5,3.925,3.925
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,0.5,1.0414285714285714,1.042857142857143
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,5.5,12.2,12.2
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,4.5,7.428571428571429,7.428571428571429
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,1,1.1,1.1
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,4,6.3,6.3
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,3,3.1,3.1
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,2.5,1.6354545454545453,1.6345454545454545
puerto-rico-grenada-YTzePsVI,concacaf-nations-league-2019-2020,2,2.15,2.15
