oddsportal,matchday,home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,betexplorer,matchdate,period,location,season,competition,bet_won,target,odd_win,best_odd_won,home_team_rank_FIFA,away_team_rank_FIFA,home_score,away_score,diff_score,home_points,away_points
soccer/north-central-america/concacaf-nations-league-2019-2020/dominica-suriname-tWDlaZga,06.09.2018,Dominica,Suriname,0:0,3.74,3.72,1.81,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-09-06,2018-09,north-central-america,2020,concacaf-nations-league-2019,N,1.0,3.72,False,164.66666666666666,154.66666666666666,0.0,0.0,0.0,1.0,1.0
soccer/north-central-america/concacaf-nations-league-2019-2020/barbados-cayman-islands-COa96f0r,20.11.2019,Barbados,Cayman Islands,3:0,1.44,3.96,6.19,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-20,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.44,True,163.0,198.75,3.0,0.0,3.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/puerto-rico-anguilla-zRCaHBE0,19.11.2019,Puerto Rico,Anguilla,3:0,1.13,7.27,11.78,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-19,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.13,True,179.375,209.125,3.0,0.0,3.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/guatemala-puerto-rico-IkIfIiaf,17.11.2019,Guatemala,Puerto Rico,5:0,1.01,14.92,33.84,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-17,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.01,True,138.125,179.375,5.0,0.0,5.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/bahamas-british-virgin-islands-KfjU1WED,15.11.2019,Bahamas,British Virgin Islands,3:0,1.04,10.64,24.55,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-11-15,2019-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.04,True,204.875,206.125,3.0,0.0,3.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/anguilla-puerto-rico-vaJjJXql,16.10.2019,Anguilla,Puerto Rico,2:3,9.69,5.85,1.2,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-10-16,2019-10,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.2,True,209.125,179.375,2.0,3.0,1.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/anguilla-guatemala-pxKnKDUs,13.10.2019,Anguilla,Guatemala,0:5,42.0,41.0,1.01,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-10-13,2019-10,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.01,True,209.125,138.125,0.0,5.0,5.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/british-virgin-islands-bahamas-bu2L3hp1,11.10.2019,British Virgin Islands,Bahamas,0:4,4.72,3.47,1.64,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-10-11,2019-10,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.64,True,206.125,204.875,0.0,4.0,4.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/puerto-rico-guatemala-8GSKOgMQ,11.09.2019,Puerto Rico,Guatemala,0:5,10.11,4.93,1.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-09-11,2019-09,north-central-america,2020,concacaf-nations-league-2019,2,2.0,1.25,True,179.375,138.125,0.0,5.0,5.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/cayman-islands-barbados-0nBA8sWS,09.09.2019,Cayman Islands,Barbados,3:2,5.57,3.85,1.5,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-09-09,2019-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,5.57,False,198.75,163.0,3.0,2.0,1.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/guatemala-anguilla-QiwGPZ6K,06.09.2019,Guatemala,Anguilla,10:0,1.01,22.8,35.5,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=EZ6MtpeH,2019-09-06,2019-09,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.01,True,138.125,209.125,10.0,0.0,10.0,3.0,0.0
soccer/north-central-america/concacaf-nations-league-2019-2020/nicaragua-suriname-4pmcD5Hc,19.11.2019,Nicaragua,Suriname,1:2,2.91,3.28,2.2,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-11-19,2019-11,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.2,True,138.5,147.875,1.0,2.0,1.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/aruba-antigua-and-barbuda-0Cf1s5XT,19.11.2019,Aruba,Antigua and Barbuda,2:3,2.82,3.86,2.03,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-11-19,2019-11,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.03,True,193.125,125.25,2.0,3.0,1.0,0.0,3.0
soccer/north-central-america/concacaf-nations-league-2019-2020/jamaica-guyana-2LtTxPuo,19.11.2019,Jamaica,Guyana,1:1,1.09,7.88,18.53,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=WAHHsQuB,2019-11-19,2019-11,north-central-america,2020,concacaf-nations-league-2019,N,1.0,7.88,False,50.5,173.625,1.0,1.0,0.0,1.0,1.0
