,oddsportal,matchday,home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,betexplorer,matchdate,period,location,season,competition,bet_won,target,odd_win,best_odd_won
26,soccer/north-central-america/concacaf-nations-league-2019-2020/jamaica-suriname-lbUfXJ5r,18.11.2018,Jamaica,Suriname,2:1,1.26,4.99,9.47,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-18,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.26,True
27,soccer/north-central-america/concacaf-nations-league-2019-2020/nicaragua-haiti-rc1YFIz8,18.11.2018,Nicaragua,Haiti,0:2,2.35,3.18,2.74,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-18,2018-11,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.74,False
28,soccer/north-central-america/concacaf-nations-league-2019-2020/turks-and-caicos-islands-saint-vincent-and-the-grenadines-vPIkOtTR,18.11.2018,Turks and Caicos Islands,Saint Vincent and the Grenadines,3:2,19.57,10.36,1.04,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-18,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,19.57,False
29,soccer/north-central-america/concacaf-nations-league-2019-2020/aruba-montserrat-21YbWwLl,17.11.2018,Aruba,Montserrat,0:2,2.48,3.05,2.67,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-17,2018-11,north-central-america,2020,concacaf-nations-league-2019,2,2.0,2.67,False
30,soccer/north-central-america/concacaf-nations-league-2019-2020/belize-puerto-rico-AXKFSeKD,17.11.2018,Belize,Puerto Rico,1:0,1.73,3.26,4.56,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-17,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.73,True
31,soccer/north-central-america/concacaf-nations-league-2019-2020/bermuda-el-salvador-WtMBTy57,17.11.2018,Bermuda,El Salvador,1:0,5.62,4.47,1.41,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-17,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,5.62,False
32,soccer/north-central-america/concacaf-nations-league-2019-2020/cuba-dominican-republic-WMcUGbL1,17.11.2018,Cuba,Dominican Republic,1:0,1.43,4.11,6.01,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-17,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.43,True
33,soccer/north-central-america/concacaf-nations-league-2019-2020/grenada-saint-martin-d0TpPMDL,16.11.2018,Grenada,Saint Martin,5:2,1.01,17.5,20.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-11-16,2018-11,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.01,True
34,soccer/north-central-america/concacaf-nations-league-2019-2020/canada-dominica-pj7f4Lyd,17.10.2018,Canada,Dominica,5:0,1.02,13.5,30.9,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-10-17,2018-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.02,True
35,soccer/north-central-america/concacaf-nations-league-2019-2020/nicaragua-anguilla-23Z2E5a3,15.10.2018,Nicaragua,Anguilla,6:0,1.02,12.88,35.25,https://www.betexplorer.com/soccer/north-central-america/concacaf-nations-league-2019-2020/results/?stage=nsYLeXxC,2018-10-15,2018-10,north-central-america,2020,concacaf-nations-league-2019,1,0.0,1.02,True
