,0,1,2,3,4,5,6,7,8
72,soccer/europe/euro-2020/ireland-denmark-0AcmqY8R,18.11.2019,Ireland,Denmark,1:1,3.01,3.08,2.49,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
73,soccer/europe/euro-2020/albania-france-MFA0gXlP,17.11.2019,Albania,France,0:2,7.49,4.49,1.42,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
74,soccer/europe/euro-2020/andorra-turkey-vZRPcntB,17.11.2019,Andorra,Turkey,0:2,14.59,6.72,1.19,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
75,soccer/europe/euro-2020/moldova-iceland-zmt0sReU,17.11.2019,Moldova,Iceland,1:2,8.19,4.21,1.42,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
76,soccer/europe/euro-2020/luxembourg-portugal-4n6FNvPg,17.11.2019,Luxembourg,Portugal,0:2,32.39,10.97,1.07,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
77,soccer/europe/euro-2020/serbia-ukraine-rDZNJdOI,17.11.2019,Serbia,Ukraine,2:2,2.07,3.47,3.48,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
78,soccer/europe/euro-2020/bulgaria-czech-republic-G4MiVVQ2,17.11.2019,Bulgaria,Czech Republic,1:0,4.58,3.83,1.73,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
79,soccer/europe/euro-2020/kosovo-england-lhoc9l4q,17.11.2019,Kosovo,England,0:4,7.13,4.89,1.40,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
80,soccer/europe/euro-2020/cyprus-scotland-fqy6RH08,16.11.2019,Cyprus,Scotland,1:2,3.30,3.26,2.24,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
81,soccer/europe/euro-2020/russia-belgium-ve30APPG,16.11.2019,Russia,Belgium,1:4,3.28,3.64,2.11,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
82,soccer/europe/euro-2020/san-marino-kazakhstan-6sNdHXx1,16.11.2019,San Marino,Kazakhstan,1:3,38.15,11.58,1.06,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
83,soccer/europe/euro-2020/austria-north-macedonia-dzjcZjtd,16.11.2019,Austria,North Macedonia,2:1,1.21,6.51,12.99,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
84,soccer/europe/euro-2020/israel-poland-bu8AreJ9,16.11.2019,Israel,Poland,1:2,2.75,3.33,2.55,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
85,soccer/europe/euro-2020/slovenia-latvia-CtLGgtq8,16.11.2019,Slovenia,Latvia,1:0,1.08,9.91,32.49,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
86,soccer/europe/euro-2020/azerbaijan-wales-nqwz5lVm,16.11.2019,Azerbaijan,Wales,0:2,7.01,3.82,1.53,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
87,soccer/europe/euro-2020/croatia-slovakia-EDNMcXNK,16.11.2019,Croatia,Slovakia,3:1,1.45,4.39,7.19,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
88,soccer/europe/euro-2020/germany-belarus-Wd6YVNYA,16.11.2019,Germany,Belarus,4:0,1.05,14.07,41.02,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
89,soccer/europe/euro-2020/northern-ireland-netherlands-ANFDznKu,16.11.2019,Northern Ireland,Netherlands,0:0,7.03,4.14,1.49,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
90,soccer/europe/euro-2020/armenia-greece-YicmemL5,15.11.2019,Armenia,Greece,0:1,3.66,3.40,2.05,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
91,soccer/europe/euro-2020/bosnia-herzegovina-italy-n1rWVWif,15.11.2019,Bosnia &amp; Herzegovina,Italy,0:3,3.68,3.62,1.99,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
92,soccer/europe/euro-2020/finland-liechtenstein-zcVMvSzP,15.11.2019,Finland,Liechtenstein,3:0,1.06,12.28,30.90,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
93,soccer/europe/euro-2020/norway-faroe-islands-2kQ5EG4T,15.11.2019,Norway,Faroe Islands,4:0,1.09,9.39,28.59,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
94,soccer/europe/euro-2020/romania-sweden-rkJgHIKA,15.11.2019,Romania,Sweden,0:2,2.67,3.22,2.72,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
95,soccer/europe/euro-2020/spain-malta-vw2DI7am,15.11.2019,Spain,Malta,7:0,1.01,29.12,64.39,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
96,soccer/europe/euro-2020/denmark-gibraltar-6mbqpEgL,15.11.2019,Denmark,Gibraltar,6:0,1.00,29.95,76.95,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
97,soccer/europe/euro-2020/switzerland-georgia-hQZFr1IG,15.11.2019,Switzerland,Georgia,1:0,1.20,6.47,14.70,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
98,soccer/europe/euro-2020/albania-andorra-z1LYeQAN,14.11.2019,Albania,Andorra,2:2,1.17,6.93,18.57,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
99,soccer/europe/euro-2020/france-moldova-YgU5XkS5,14.11.2019,France,Moldova,2:1,1.01,26.65,69.38,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
100,soccer/europe/euro-2020/turkey-iceland-vLniqmRH,14.11.2019,Turkey,Iceland,0:0,1.62,3.82,5.58,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
101,soccer/europe/euro-2020/portugal-lithuania-OYXh6wfJ,14.11.2019,Portugal,Lithuania,6:0,1.02,21.61,63.54,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
102,soccer/europe/euro-2020/serbia-luxembourg-2cjzNSkt,14.11.2019,Serbia,Luxembourg,3:2,1.14,7.99,18.79,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
103,soccer/europe/euro-2020/czech-republic-kosovo-Ear96nl2,14.11.2019,Czech Republic,Kosovo,2:1,1.59,4.10,5.45,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
104,soccer/europe/euro-2020/england-montenegro-vJBDHCd3,14.11.2019,England,Montenegro,7:0,1.05,13.98,35.31,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
105,soccer/europe/euro-2020/finland-armenia-d6WIu8LI,15.10.2019,Finland,Armenia,3:0,1.54,4.07,6.22,https://www.betexplorer.com/soccer/europe/euro-2020/results/?stage=Wryav0YC
